scan_date,scan_time,symbol,price_at_scan,scanner_score,float_score,momentum_score,volume_score,catalyst_score,multiday_score,vigl_bonus,vigl_match,rvol,float_shares,change_pct,volume,catalyst_text,entered,entry_date,entry_price,entry_thesis,exit_date,exit_price,hold_days,return_pct,return_dollars,outcome,notes
2026-02-10,16:46:45,ANNX,5.61,0,0,0,0,0,0,0,none,1.0,0,0,3347427.0,,No,,,,,,,,,,
2026-02-10,16:46:45,ING,30.91,0,0,0,0,0,0,0,none,1.0,0,0,3459711.0,,No,,,,,,,,,,
2026-02-10,16:46:45,SNAP,5.23,0,0,0,0,0,0,0,none,1.0,0,0,87857267.0,,No,,,,,,,,,,
2026-02-10,16:46:45,STKL,6.41,0,0,0,0,0,0,0,none,1.0,0,0,3743505.0,,No,,,,,,,,,,
2026-02-10,16:46:45,COUR,5.9,0,0,0,0,0,0,0,none,1.0,0,0,5013605.0,,No,,,,,,,,,,
2026-02-10,16:46:45,TZA,5.91,0,0,0,0,0,0,0,none,1.0,0,0,88190274.0,,No,,,,,,,,,,
2026-02-10,16:46:45,ORC,7.48,0,0,0,0,0,0,0,none,1.0,0,0,4713304.0,,No,,,,,,,,,,
2026-02-10,16:46:45,PD,7.82,0,0,0,0,0,0,0,none,1.0,0,0,3787768.0,,No,,,,,,,,,,
2026-02-10,16:46:45,CCC,5.52,0,0,0,0,0,0,0,none,1.0,0,0,14708390.0,,No,,,,,,,,,,
2026-02-10,16:46:45,LUMN,7.78,0,0,0,0,0,0,0,none,1.0,0,0,11203377.0,,No,,,,,,,,,,
2026-02-10,16:46:45,WEN,7.82,0,0,0,0,0,0,0,none,1.0,0,0,10025108.0,,No,,,,,,,,,,
2026-02-10,16:46:45,ASAN,8.22,0,0,0,0,0,0,0,none,1.0,0,0,12500472.0,,No,,,,,,,,,,
2026-02-10,16:46:45,SMCL,5.36,0,0,0,0,0,0,0,none,1.0,0,0,4384604.0,,No,,,,,,,,,,
2026-02-10,16:46:45,NUVB,5.71,0,0,0,0,0,0,0,none,1.0,0,0,5370792.0,,No,,,,,,,,,,
2026-02-10,16:46:45,CXM,5.89,0,0,0,0,0,0,0,none,1.0,0,0,3537208.0,,No,,,,,,,,,,
2026-02-10,16:46:45,SRLN,40.66,0,0,0,0,0,0,0,none,1.0,0,0,5602534.0,,No,,,,,,,,,,
2026-02-10,16:46:45,ABR,7.86,0,0,0,0,0,0,0,none,1.0,0,0,4317611.0,,No,,,,,,,,,,
2026-02-10,16:46:45,HTZ,5.2,0,0,0,0,0,0,0,none,1.0,0,0,3052501.0,,No,,,,,,,,,,
2026-02-10,16:46:45,AMPL,7.31,0,0,0,0,0,0,0,none,1.0,0,0,3238608.0,,No,,,,,,,,,,
2026-02-10,16:46:45,PAYO,6,0,0,0,0,0,0,0,none,1.0,0,0,3106422.0,,No,,,,,,,,,,
2026-02-10,16:46:45,GENI,6.26,0,0,0,0,0,0,0,none,1.0,0,0,7556823.0,,No,,,,,,,,,,
2026-02-10,16:46:45,TGB,8.2,0,0,0,0,0,0,0,none,1.0,0,0,3446692.0,,No,,,,,,,,,,
2026-02-10,16:46:45,LYG,5.79,0,0,0,0,0,0,0,none,1.0,0,0,34913872.0,,No,,,,,,,,,,
2026-02-10,16:46:45,NVD,6.74,0,0,0,0,0,0,0,none,1.0,0,0,39543873.0,,No,,,,,,,,,,
2026-02-10,16:46:45,NVAX,8.75,0,0,0,0,0,0,0,none,1.0,0,0,3683597.0,,No,,,,,,,,,,
2026-02-10,16:46:45,TSLS,5.33,0,0,0,0,0,0,0,none,1.0,0,0,69599523.0,,No,,,,,,,,,,
2026-02-10,16:46:45,SUZ,9.85,0,0,0,0,0,0,0,none,1.0,0,0,3880313.0,,No,,,,,,,,,,
2026-02-10,16:46:45,SPDN,9.36,0,0,0,0,0,0,0,none,1.0,0,0,24060480.0,,No,,,,,,,,,,
2026-02-10,16:46:45,UAMY,8.15,0,0,0,0,0,0,0,none,1.0,0,0,16392409.0,,No,,,,,,,,,,
2026-02-10,16:46:45,DRIP,6.69,0,0,0,0,0,0,0,none,1.0,0,0,4054778.0,,No,,,,,,,,,,
2026-02-10,16:46:45,NOK,7.08,0,0,0,0,0,0,0,none,1.0,0,0,24515739.0,,No,,,,,,,,,,
2026-02-10,16:46:45,SVIVU,10.08,0,0,0,0,0,0,0,none,1.0,0,0,7491148.0,,No,,,,,,,,,,
2026-02-10,16:46:45,MLCO,6.31,0,0,0,0,0,0,0,none,1.0,0,0,2688872.0,,No,,,,,,,,,,
2026-02-10,16:46:45,OGN,7.81,0,0,0,0,0,0,0,none,1.0,0,0,4174921.0,,No,,,,,,,,,,
2026-02-10,16:46:45,DCH,8.46,0,0,0,0,0,0,0,none,1.0,0,0,8620520.0,,No,,,,,,,,,,
2026-02-10,16:46:45,VG,10.14,0,0,0,0,0,0,0,none,1.0,0,0,7104716.0,,No,,,,,,,,,,
2026-02-10,16:46:45,AMDD,8.9,0,0,0,0,0,0,0,none,1.0,0,0,9997965.0,,No,,,,,,,,,,
2026-02-10,16:46:45,ADT,8.22,0,0,0,0,0,0,0,none,1.0,0,0,14327026.0,,No,,,,,,,,,,
2026-02-10,16:46:45,FRSH,8.73,0,0,0,0,0,0,0,none,1.0,0,0,13108124.0,,No,,,,,,,,,,
2026-02-10,16:46:45,RITM,10.67,0,0,0,0,0,0,0,none,1.0,0,0,8787875.0,,No,,,,,,,,,,
2026-02-10,16:46:45,TE,7.51,0,0,0,0,0,0,0,none,1.0,0,0,17604132.0,,No,,,,,,,,,,
2026-02-10,16:46:45,GGLS,6.67,0,0,0,0,0,0,0,none,1.0,0,0,13629853.0,,No,,,,,,,,,,
2026-02-10,16:46:45,EWZ,38.32,0,0,0,0,0,0,0,none,1.0,0,0,28954527.0,,No,,,,,,,,,,
2026-02-10,16:46:45,YMM,10,0,0,0,0,0,0,0,none,1.0,0,0,5037646.0,,No,,,,,,,,,,
2026-02-10,16:46:45,TLRY,7.83,0,0,0,0,0,0,0,none,1.0,0,0,3206679.0,,No,,,,,,,,,,
2026-02-10,16:46:45,DJT,11.25,0,0,0,0,0,0,0,none,1.0,0,0,3244277.0,,No,,,,,,,,,,
2026-02-10,16:46:45,PGX,11.38,0,0,0,0,0,0,0,none,1.0,0,0,3122272.0,,No,,,,,,,,,,
2026-02-10,16:46:45,FLO,11.81,0,0,0,0,0,0,0,none,1.0,0,0,4581795.0,,No,,,,,,,,,,
2026-02-10,16:46:45,NGD,11.32,0,0,0,0,0,0,0,none,1.0,0,0,16845882.0,,No,,,,,,,,,,
2026-02-10,16:46:45,NXE,11.71,0,0,0,0,0,0,0,none,1.0,0,0,8187505.0,,No,,,,,,,,,,
2026-02-10,16:46:45,FSM,11.09,0,0,0,0,0,0,0,none,1.0,0,0,5550411.0,,No,,,,,,,,,,
2026-02-10,16:46:45,AVTR,11.16,0,0,0,0,0,0,0,none,1.0,0,0,28623529.0,,No,,,,,,,,,,
2026-02-10,16:46:45,LBTYA,11.56,0,0,0,0,0,0,0,none,1.0,0,0,2879016.0,,No,,,,,,,,,,
2026-02-10,16:46:45,ERIC,11.23,0,0,0,0,0,0,0,none,1.0,0,0,5224022.0,,No,,,,,,,,,,
2026-02-10,16:46:45,SVM,10.88,0,0,0,0,0,0,0,none,1.0,0,0,5989642.0,,No,,,,,,,,,,
2026-02-10,16:46:45,AMZD,11.15,0,0,0,0,0,0,0,none,1.0,0,0,9003313.0,,No,,,,,,,,,,
2026-02-10,16:46:45,WU,10.11,0,0,0,0,0,0,0,none,1.0,0,0,6963662.0,,No,,,,,,,,,,
2026-02-10,16:46:45,UMC,9.91,0,0,0,0,0,0,0,none,1.0,0,0,7082281.0,,No,,,,,,,,,,
2026-02-10,16:46:45,INTR,9.29,0,0,0,0,0,0,0,none,1.0,0,0,4063560.0,,No,,,,,,,,,,
2026-02-10,16:46:45,CNH,12.39,0,0,0,0,0,0,0,none,1.0,0,0,12803617.0,,No,,,,,,,,,,
2026-02-10,16:46:45,UNG,12.13,0,0,0,0,0,0,0,none,1.0,0,0,9253038.0,,No,,,,,,,,,,
2026-02-10,16:46:45,MFG,9.94,0,0,0,0,0,0,0,none,1.0,0,0,6362132.0,,No,,,,,,,,,,
2026-02-10,16:46:45,ERAS,11.95,0,0,0,0,0,0,0,none,1.0,0,0,4147726.0,,No,,,,,,,,,,
2026-02-10,16:46:45,CLF,12.27,0,0,0,0,0,0,0,none,1.0,0,0,24797665.0,,No,,,,,,,,,,
2026-02-10,16:46:45,SHLS,10.26,0,0,0,0,0,0,0,none,1.0,0,0,3684496.0,,No,,,,,,,,,,
2026-02-10,16:46:45,EXK,12.14,0,0,0,0,0,0,0,none,1.0,0,0,8243870.0,,No,,,,,,,,,,
2026-02-10,16:46:45,WB,10.32,0,0,0,0,0,0,0,none,1.0,0,0,5748967.0,,No,,,,,,,,,,
2026-02-10,16:46:45,PAGS,11.31,0,0,0,0,0,0,0,none,1.0,0,0,3247778.0,,No,,,,,,,,,,
2026-02-10,16:46:45,AGNC,11.22,0,0,0,0,0,0,0,none,1.0,0,0,21877520.0,,No,,,,,,,,,,
2026-02-10,16:46:45,CLSK,10.03,0,0,0,0,0,0,0,none,1.0,0,0,28607677.0,,No,,,,,,,,,,
2026-02-10,16:46:45,CRGY,10.14,0,0,0,0,0,0,0,none,1.0,0,0,4800928.0,,No,,,,,,,,,,
2026-02-10,16:46:45,IGV,85.41,0,0,0,0,0,0,0,none,1.0,0,0,26396087.0,,No,,,,,,,,,,
2026-02-10,16:46:45,AAPD,13.01,0,0,0,0,0,0,0,none,1.0,0,0,5812602.0,,No,,,,,,,,,,
2026-02-10,16:46:45,PATH,12.95,0,0,0,0,0,0,0,none,1.0,0,0,23708103.0,,No,,,,,,,,,,
2026-02-10,16:46:45,SAN,12.73,0,0,0,0,0,0,0,none,1.0,0,0,12786671.0,,No,,,,,,,,,,
2026-02-10,16:46:45,PSKY,10.84,0,0,0,0,0,0,0,none,1.0,0,0,8680939.0,,No,,,,,,,,,,
2026-02-10,16:46:45,F,13.57,0,0,0,0,0,0,0,none,1.0,0,0,80733783.0,,No,,,,,,,,,,
2026-02-10,16:46:45,HLN,11.04,0,0,0,0,0,0,0,none,1.0,0,0,5940963.0,,No,,,,,,,,,,
2026-02-10,16:46:45,LCID,10.92,0,0,0,0,0,0,0,none,1.0,0,0,4733798.0,,No,,,,,,,,,,
2026-02-10,16:46:45,AI,11.48,0,0,0,0,0,0,0,none,1.0,0,0,6509788.0,,No,,,,,,,,,,
2026-02-10,16:46:45,COMP,12.76,0,0,0,0,0,0,0,none,1.0,0,0,25432672.0,,No,,,,,,,,,,
2026-02-10,16:46:45,TAL,12.27,0,0,0,0,0,0,0,none,1.0,0,0,3247804.0,,No,,,,,,,,,,
2026-02-10,16:46:45,FOLD,14.3,0,0,0,0,0,0,0,none,1.0,0,0,4437976.0,,No,,,,,,,,,,
2026-02-10,16:46:45,COLD,12.87,0,0,0,0,0,0,0,none,1.0,0,0,5510706.0,,No,,,,,,,,,,
2026-02-10,16:46:45,GPK,13.38,0,0,0,0,0,0,0,none,1.0,0,0,5026253.0,,No,,,,,,,,,,
2026-02-10,16:46:45,DX,13.83,0,0,0,0,0,0,0,none,1.0,0,0,5551774.0,,No,,,,,,,,,,
2026-02-10,16:46:45,PDBC,14.34,0,0,0,0,0,0,0,none,1.0,0,0,4895943.0,,No,,,,,,,,,,
2026-02-10,16:46:45,CX,12.94,0,0,0,0,0,0,0,none,1.0,0,0,7270390.0,,No,,,,,,,,,,
2026-02-10,16:46:45,IONX,11.78,0,0,0,0,0,0,0,none,1.0,0,0,2712702.0,,No,,,,,,,,,,
2026-02-10,16:46:45,OBDC,11.93,0,0,0,0,0,0,0,none,1.0,0,0,3856479.0,,No,,,,,,,,,,
2026-02-10,16:46:45,FLG,14.11,0,0,0,0,0,0,0,none,1.0,0,0,3805126.0,,No,,,,,,,,,,
2026-02-10,16:46:45,TU,14.31,0,0,0,0,0,0,0,none,1.0,0,0,5421321.0,,No,,,,,,,,,,
2026-02-10,16:46:45,PHR,12.41,0,0,0,0,0,0,0,none,1.0,0,0,4027688.0,,No,,,,,,,,,,
2026-02-10,16:46:45,NVDY,14.18,0,0,0,0,0,0,0,none,1.0,0,0,3248219.0,,No,,,,,,,,,,
2026-02-10,16:46:45,DBRG,15.39,0,0,0,0,0,0,0,none,1.0,0,0,2704306.0,,No,,,,,,,,,,
2026-02-10,16:46:45,PONY,14.73,0,0,0,0,0,0,0,none,1.0,0,0,3396248.0,,No,,,,,,,,,,
2026-02-10,16:46:45,RWM,15.19,0,0,0,0,0,0,0,none,1.0,0,0,22081214.0,,No,,,,,,,,,,
2026-02-10,16:46:45,VNET,12.07,0,0,0,0,0,0,0,none,1.0,0,0,6676678.0,,No,,,,,,,,,,
2026-02-10,16:46:45,ACHC,13.66,0,0,0,0,0,0,0,none,1.0,0,0,3369603.0,,No,,,,,,,,,,
2026-02-10,16:46:45,PBR,15.33,0,0,0,0,0,0,0,none,1.0,0,0,15926936.0,,No,,,,,,,,,,
2026-02-10,16:46:45,AAL,15.1,0,0,0,0,0,0,0,none,1.0,0,0,33680300.0,,No,,,,,,,,,,
2026-02-10,16:46:45,OSCR,12.88,0,0,0,0,0,0,0,none,1.0,0,0,26526635.0,,No,,,,,,,,,,
2026-02-10,16:46:45,RIOT,14.83,0,0,0,0,0,0,0,none,1.0,0,0,14742600.0,,No,,,,,,,,,,
